Combined_Key,Country_Region,Province_State,Admin2,iso2,iso3,FIPS,Lat,Long,Population_Count
"Wyoming, Pennsylvania, US",United States,Pennsylvania,Wyoming,US,USA,42131,41.51955538,-76.01074915,26794
"Camp, Texas, US",United States,Texas,Camp,US,USA,48063,32.97195142,-94.97790104,13094
"Twin Falls, Idaho, US",United States,Idaho,Twin Falls,US,USA,16083,42.35440512,-114.6685381,86878
"Henderson, North Carolina, US",United States,North Carolina,Henderson,US,USA,37089,35.33788927,-82.4766782,117417
"Cherokee, Georgia, US",United States,Georgia,Cherokee,US,USA,13057,34.24393976,-84.47431861,258773
"San Bernardino, California, US",United States,California,San Bernardino,US,USA,6071,34.84060306,-116.1774685,2180085
"Door, Wisconsin, US",United States,Wisconsin,Door,US,USA,55029,44.95856458,-87.30002707,27668
"Elko, Nevada, US",United States,Nevada,Elko,US,USA,32007,41.14531606,-115.3577619,52778
"Sequoyah, Oklahoma, US",United States,Oklahoma,Sequoyah,US,USA,40135,35.49447108,-94.75463785,41569
"Lawrence, Kentucky, US",United States,Kentucky,Lawrence,US,USA,21127,38.07136018,-82.72882223,15317
"Menifee, Kentucky, US",United States,Kentucky,Menifee,US,USA,21165,37.94090733,-83.59985712,6489
"Menominee, Wisconsin, US",United States,Wisconsin,Menominee,US,USA,55078,45.00422544,-88.70950714,4556
"Christian, Missouri, US",United States,Missouri,Christian,US,USA,29043,36.9711783,-93.18537118,88595
"Power, Idaho, US",United States,Idaho,Power,US,USA,16077,42.69254894,-112.8395742,7681
"Orleans, New York, US",United States,New York,Orleans,US,USA,36073,43.2516977,-78.2320066,40352
"Aleutians East, Alaska, US",United States,Alaska,Aleutians East,US,USA,2013,55.32222414,-161.9722021,3337
"Elmore, Idaho, US",United States,Idaho,Elmore,US,USA,16039,43.3507101,-115.4701578,27511
"Nevada, California, US",United States,California,Nevada,US,USA,6057,39.30394768,-120.7627281,99755
"Rich, Utah, US",United States,Utah,Rich,US,USA,49033,41.63137678,-111.2445105,2483
"Cheshire, New Hampshire, US",United States,New Hampshire,Cheshire,US,USA,33005,42.92015988,-72.25311043,76085
"Monroe, Pennsylvania, US",United States,Pennsylvania,Monroe,US,USA,42089,41.05934058,-75.34031025,170271
"Oceana, Michigan, US",United States,Michigan,Oceana,US,USA,26127,43.64124435,-86.26726673,26467
"Campbell, Virginia, US",United States,Virginia,Campbell,US,USA,51031,37.20553386,-79.09678609,54885
"Lexington, Virginia, US",United States,Virginia,Lexington,US,USA,51678,37.78258621,-79.44262866,7446
"Pondera, Montana, US",United States,Montana,Pondera,US,USA,30073,48.22773388,-112.2252703,5911
"St. Clair, Michigan, US",United States,Michigan,St. Clair,US,USA,26147,42.92655373,-82.67937954,159128
"Wise, Texas, US",United States,Texas,Wise,US,USA,48497,33.21570665,-97.65460265,69984
"Stevens, Minnesota, US",United States,Minnesota,Stevens,US,USA,27149,45.58613007,-96.00163705,9805
"Warren, Indiana, US",United States,Indiana,Warren,US,USA,18171,40.34728141,-87.35602659,8265
"Bastrop, Texas, US",United States,Texas,Bastrop,US,USA,48021,30.10370699,-97.31206354,88723
"Washington, Oregon, US",United States,Oregon,Washington,US,USA,41067,45.55972701,-123.0955257,601592
"Dickey, North Dakota, US",United States,North Dakota,Dickey,US,USA,38021,46.11017712,-98.5049008,4872
"Kerr, Texas, US",United States,Texas,Kerr,US,USA,48265,30.06040006,-99.34930144,52600
"Ontario, New York, US",United States,New York,Ontario,US,USA,36069,42.85145728,-77.30874425,109777
"Skamania, Washington, US",United States,Washington,Skamania,US,USA,53059,46.02408726,-121.9164403,12083
"Missaukee, Michigan, US",United States,Michigan,Missaukee,US,USA,26113,44.33772443,-85.09256478,15118
"Multnomah, Oregon, US",United States,Oregon,Multnomah,US,USA,41051,45.54747959,-122.4169351,812855
"Howard, Arkansas, US",United States,Arkansas,Howard,US,USA,5061,34.09007427,-93.9934871,13202
"Lafayette, Arkansas, US",United States,Arkansas,Lafayette,US,USA,5073,33.24116713,-93.60677071,6624
"Echols, Georgia, US",United States,Georgia,Echols,US,USA,13101,30.71101099,-82.89687287,4006
"McCurtain, Oklahoma, US",United States,Oklahoma,McCurtain,US,USA,40089,34.11664328,-94.77222373,32832
"Allendale, South Carolina, US",United States,South Carolina,Allendale,US,USA,45005,32.98837386,-81.35321066,8688
"Cochran, Texas, US",United States,Texas,Cochran,US,USA,48079,33.60425307,-102.8284499,2853
"Morgan, Tennessee, US",United States,Tennessee,Morgan,US,USA,47129,36.13248031,-84.64880098,21403
"Laurel, Kentucky, US",United States,Kentucky,Laurel,US,USA,21125,37.10975748,-84.11321779,60813
"Clark, Nevada, US",United States,Nevada,Clark,US,USA,32003,36.21458855,-115.0130241,2266715
"Franklin, Vermont, US",United States,Vermont,Franklin,US,USA,50011,44.85627605,-72.91249563,49402
"King George, Virginia, US",United States,Virginia,King George,US,USA,51099,38.26818502,-77.15852768,26836
"Butler, Kansas, US",United States,Kansas,Butler,US,USA,20015,37.78134351,-96.83878537,66911
"Sanders, Montana, US",United States,Montana,Sanders,US,USA,30089,47.67657534,-115.1329916,12113
"Martin, Florida, US",United States,Florida,Martin,US,USA,12085,27.0772071,-80.43109784,161000
"Burleson, Texas, US",United States,Texas,Burleson,US,USA,48051,30.49273808,-96.62158484,18443
"Zavala, Texas, US",United States,Texas,Zavala,US,USA,48507,28.86617238,-99.76050829,11840
"Jasper, South Carolina, US",United States,South Carolina,Jasper,US,USA,45053,32.43171982,-81.02487495,30073
"Comanche, Kansas, US",United States,Kansas,Comanche,US,USA,20033,37.1911452,-99.27113247,1700
"Story, Iowa, US",United States,Iowa,Story,US,USA,19169,42.03621213,-93.46499005,97117
"Mobile, Alabama, US",United States,Alabama,Mobile,US,USA,1097,30.78472347,-88.20842409,413210
"Kossuth, Iowa, US",United States,Iowa,Kossuth,US,USA,19109,43.20405458,-94.20691791,14813
"Mason, Illinois, US",United States,Illinois,Mason,US,USA,17125,40.23917274,-89.91824452,13359
"McMinn, Tennessee, US",United States,Tennessee,McMinn,US,USA,47107,35.42812616,-84.61520715,53794
"Tuolumne, California, US",United States,California,Tuolumne,US,USA,6109,38.02644018,-119.9525093,54478
"Mitchell, North Carolina, US",United States,North Carolina,Mitchell,US,USA,37121,36.01059309,-82.1582442,14964
"Crosby, Texas, US",United States,Texas,Crosby,US,USA,48107,33.61431553,-101.3000364,5737
"St. Charles, Missouri, US",United States,Missouri,St. Charles,US,USA,29183,38.77875681,-90.66662425,402022
"Jefferson, Alabama, US",United States,Alabama,Jefferson,US,USA,1073,33.55554728,-86.895063,658573
"Wheeler, Nebraska, US",United States,Nebraska,Wheeler,US,USA,31183,41.91482725,-98.52798941,783
"Ben Hill, Georgia, US",United States,Georgia,Ben Hill,US,USA,13017,31.76095874,-83.22145359,16700
"Cherokee, Oklahoma, US",United States,Oklahoma,Cherokee,US,USA,40021,35.90692775,-94.99980896,48657
"Fairfield, Connecticut, US",United States,Connecticut,Fairfield,US,USA,9001,41.26809896,-73.3881171,943332
"Garland, Arkansas, US",United States,Arkansas,Garland,US,USA,5051,34.57692074,-93.14921604,99386
"Miller, Georgia, US",United States,Georgia,Miller,US,USA,13201,31.16568912,-84.73151117,5718
"Boone, Illinois, US",United States,Illinois,Boone,US,USA,17007,42.32359279,-88.82345779,53544
"Clark, Ohio, US",United States,Ohio,Clark,US,USA,39023,39.91592258,-83.78498252,134083
"Ramsey, North Dakota, US",United States,North Dakota,Ramsey,US,USA,38071,48.26886249,-98.72223879,11519
"St. Joseph, Michigan, US",United States,Michigan,St. Joseph,US,USA,26149,41.91441767,-85.52797979,60964
"Jo Daviess, Illinois, US",United States,Illinois,Jo Daviess,US,USA,17085,42.36542373,-90.21094405,21235
"Carbon, Pennsylvania, US",United States,Pennsylvania,Carbon,US,USA,42025,40.91545395,-75.7068525,64182
"Catron, New Mexico, US",United States,New Mexico,Catron,US,USA,35003,33.91514144,-108.4046587,3527
"Larimer, Colorado, US",United States,Colorado,Larimer,US,USA,8069,40.66671597,-105.4625784,356899
"Spartanburg, South Carolina, US",United States,South Carolina,Spartanburg,US,USA,45083,34.92960077,-81.99225984,319785
"Grainger, Tennessee, US",United States,Tennessee,Grainger,US,USA,47057,36.27469206,-83.51254721,23320
"Scott, Arkansas, US",United States,Arkansas,Scott,US,USA,5127,34.85588887,-94.0632176,10281
"Poquoson, Virginia, US",United States,Virginia,Poquoson,US,USA,51735,37.14259351,-76.35798148,12271
"Miner, South Dakota, US",United States,South Dakota,Miner,US,USA,46097,44.02197882,-97.60992207,2216
"Lake, Illinois, US",United States,Illinois,Lake,US,USA,17097,42.3224907,-88.00367925,696535
"Boulder, Colorado, US",United States,Colorado,Boulder,US,USA,8013,40.09313619,-105.3546767,326196
"Hunt, Texas, US",United States,Texas,Hunt,US,USA,48231,33.12351514,-96.08551032,98594
"Vance, North Carolina, US",United States,North Carolina,Vance,US,USA,37181,36.36880673,-78.40670845,44535
"Baltimore, Maryland, US",United States,Maryland,Baltimore,US,USA,24005,39.45784712,-76.62911955,827370
"Marshall, Iowa, US",United States,Iowa,Marshall,US,USA,19127,42.03586837,-92.9990819,39369
"Wolfe, Kentucky, US",United States,Kentucky,Wolfe,US,USA,21237,37.73941626,-83.49303612,7157
"Sullivan, New Hampshire, US",United States,New Hampshire,Sullivan,US,USA,33019,43.36094111,-72.22203125,43146
"Appanoose, Iowa, US",United States,Iowa,Appanoose,US,USA,19007,40.74324454,-92.86865906,12426
"Grand, Utah, US",United States,Utah,Grand,US,USA,49019,38.98103848,-109.5704487,9754
"Pushmataha, Oklahoma, US",United States,Oklahoma,Pushmataha,US,USA,40127,34.41635232,-95.37603505,11096
"Etowah, Alabama, US",United States,Alabama,Etowah,US,USA,1055,34.04567266,-86.04051873,102268
"Lowndes, Alabama, US",United States,Alabama,Lowndes,US,USA,1085,32.1597283,-86.65158371,9726
"Wabaunsee, Kansas, US",United States,Kansas,Wabaunsee,US,USA,20197,38.95471985,-96.20350509,6931
"Franklin, Ohio, US",United States,Ohio,Franklin,US,USA,39049,39.96995815,-83.01115755,1316756
"Warren, Pennsylvania, US",United States,Pennsylvania,Warren,US,USA,42123,41.81304978,-79.26969577,39191
"Mahoning, Ohio, US",United States,Ohio,Mahoning,US,USA,39099,41.01631101,-80.77287029,228683
"Greene, Iowa, US",United States,Iowa,Greene,US,USA,19073,42.03614551,-94.39658081,8888
"Pierce, North Dakota, US",United States,North Dakota,Pierce,US,USA,38069,48.24977025,-99.96407787,3975
"Lauderdale, Tennessee, US",United States,Tennessee,Lauderdale,US,USA,47097,35.75893438,-89.6301591,25633
"Dunn, Wisconsin, US",United States,Wisconsin,Dunn,US,USA,55033,44.94562799,-91.8962481,45368
"Hamilton, Florida, US",United States,Florida,Hamilton,US,USA,12047,30.49673973,-82.94998918,14428
"Meade, Kansas, US",United States,Kansas,Meade,US,USA,20119,37.23859987,-100.364831,4033
"Placer, California, US",United States,California,Placer,US,USA,6061,39.06167234,-120.7240569,398329
"Moffat, Colorado, US",United States,Colorado,Moffat,US,USA,8081,40.61810999,-108.2070876,13283
"Faulk, South Dakota, US",United States,South Dakota,Faulk,US,USA,46049,45.07082625,-99.14535601,2299
"Richland, South Carolina, US",United States,South Carolina,Richland,US,USA,45079,34.01791263,-80.90267209,415759
"Harding, South Dakota, US",United States,South Dakota,Harding,US,USA,46063,45.58015551,-103.4958629,1298
"Yellow Medicine, Minnesota, US",United States,Minnesota,Yellow Medicine,US,USA,27173,44.71710183,-95.86842453,9709
"Grundy, Tennessee, US",United States,Tennessee,Grundy,US,USA,47061,35.38433717,-85.72142731,13427
"Pike, Georgia, US",United States,Georgia,Pike,US,USA,13231,33.09310242,-84.38790389,18962
"Upshur, Texas, US",United States,Texas,Upshur,US,USA,48459,32.73706798,-94.93999853,41753
"Abbeville, South Carolina, US",United States,South Carolina,Abbeville,US,USA,45001,34.22333378,-82.46170658,24527
"Aleutians West, Alaska, US",United States,Alaska,Aleutians West,US,USA,2016,52.3233,-174.1596,5634
"Mecklenburg, Virginia, US",United States,Virginia,Mecklenburg,US,USA,51117,36.67882005,-78.36131056,30587
"Ripley, Indiana, US",United States,Indiana,Ripley,US,USA,18137,39.10235626,-85.26212744,28324
"Washington, Alabama, US",United States,Alabama,Washington,US,USA,1129,31.4092794,-88.20689944,16326
"Ozark, Missouri, US",United States,Missouri,Ozark,US,USA,29153,36.64916339,-92.44459066,9174
"Kings, New York, US",United States,New York,Kings,US,USA,36047,40.6361825,-73.94935552,2559903
"Muskogee, Oklahoma, US",United States,Oklahoma,Muskogee,US,USA,40101,35.61318461,-95.37802952,67997
"Boyd, Kentucky, US",United States,Kentucky,Boyd,US,USA,21019,38.36176608,-82.68652187,46718
"Howard, Maryland, US",United States,Maryland,Howard,US,USA,24027,39.25305293,-76.93126208,325690
"Calhoun, Iowa, US",United States,Iowa,Calhoun,US,USA,19025,42.38521079,-94.64046046,9668
"Douglas, Wisconsin, US",United States,Wisconsin,Douglas,US,USA,55031,46.43222285,-91.91595768,43150
"Iberville, Louisiana, US",United States,Louisiana,Iberville,US,USA,22047,30.25734305,-91.3499598,32511
"Hidalgo, Texas, US",United States,Texas,Hidalgo,US,USA,48215,26.39418217,-98.18299696,868707
"Rush, Indiana, US",United States,Indiana,Rush,US,USA,18139,39.62002287,-85.4655599,16581
"Richmond, Georgia, US",United States,Georgia,Richmond,US,USA,13245,33.35777107,-82.07026432,202518
"Linn, Missouri, US",United States,Missouri,Linn,US,USA,29115,39.87001769,-93.10704106,11920
"Gulf, Florida, US",United States,Florida,Gulf,US,USA,12045,29.93543004,-85.2427099,13639
"Milam, Texas, US",United States,Texas,Milam,US,USA,48331,30.7858183,-96.97718698,24823
"Wallace, Kansas, US",United States,Kansas,Wallace,US,USA,20199,38.91686134,-101.7638876,1518
"Lauderdale, Alabama, US",United States,Alabama,Lauderdale,US,USA,1077,34.90171875,-87.65624729,92729
"Madison, Florida, US",United States,Florida,Madison,US,USA,12079,30.44396917,-83.47398594,18493
"Bryan, Oklahoma, US",United States,Oklahoma,Bryan,US,USA,40013,33.96472458,-96.25903472,47995
"King William, Virginia, US",United States,Virginia,King William,US,USA,51101,37.70965316,-77.09384941,17148
"Buffalo, Nebraska, US",United States,Nebraska,Buffalo,US,USA,31019,40.85486962,-99.07500296,49659
"Cheboygan, Michigan, US",United States,Michigan,Cheboygan,US,USA,26031,45.44787015,-84.50122149,25276
"Lewis, Washington, US",United States,Washington,Lewis,US,USA,53041,46.57756476,-122.3925769,80707
"Stonewall, Texas, US",United States,Texas,Stonewall,US,USA,48433,33.17906744,-100.2538401,1350
"Lexington, South Carolina, US",United States,South Carolina,Lexington,US,USA,45063,33.89665987,-81.27146426,298750
"Shelby, Illinois, US",United States,Illinois,Shelby,US,USA,17173,39.39133527,-88.80611122,21634
"Comal, Texas, US",United States,Texas,Comal,US,USA,48091,29.80811278,-98.27647225,156209
"Russell, Alabama, US",United States,Alabama,Russell,US,USA,1113,32.28725256,-85.18415324,57961
"Hampshire, West Virginia, US",United States,West Virginia,Hampshire,US,USA,54027,39.32103553,-78.60826476,23175
"Clear Creek, Colorado, US",United States,Colorado,Clear Creek,US,USA,8019,39.68864463,-105.6463118,9700
"Jefferson, Illinois, US",United States,Illinois,Jefferson,US,USA,17081,38.29980057,-88.9240025,37684
"Scott, Iowa, US",United States,Iowa,Scott,US,USA,19163,41.63935978,-90.61959493,172943
"Buena Vista, Virginia, US",United States,Virginia,Buena Vista,US,USA,51530,37.73484642,-79.35296097,6478
"Vinton, Ohio, US",United States,Ohio,Vinton,US,USA,39163,39.25208988,-82.4831444,13085
"San Benito, California, US",United States,California,San Benito,US,USA,6069,36.60308176,-121.069975,62808
"Linn, Kansas, US",United States,Kansas,Linn,US,USA,20107,38.21267844,-94.84254089,9703
"Hendricks, Indiana, US",United States,Indiana,Hendricks,US,USA,18063,39.76719009,-86.51037283,170311
"Comanche, Oklahoma, US",United States,Oklahoma,Comanche,US,USA,40031,34.65973764,-98.47195055,120749
"Floyd, Virginia, US",United States,Virginia,Floyd,US,USA,51063,36.9302126,-80.36738849,15749
"Marin, California, US",United States,California,Marin,US,USA,6041,38.07122463,-122.7210631,258826
"Northumberland, Virginia, US",United States,Virginia,Northumberland,US,USA,51133,37.89202088,-76.41949732,12095
"Pittsburg, Oklahoma, US",United States,Oklahoma,Pittsburg,US,USA,40121,34.92065823,-95.7513432,43654
"McHenry, Illinois, US",United States,Illinois,McHenry,US,USA,17111,42.32451172,-88.45248227,307774
"Irion, Texas, US",United States,Texas,Irion,US,USA,48235,31.30375559,-100.982439,1536
"Caddo, Oklahoma, US",United States,Oklahoma,Caddo,US,USA,40015,35.17364557,-98.37534464,28762
"Fillmore, Minnesota, US",United States,Minnesota,Fillmore,US,USA,27045,43.67394126,-92.08980382,21067
"Emmet, Michigan, US",United States,Michigan,Emmet,US,USA,26047,45.52625509,-84.89083249,33415
"Alfalfa, Oklahoma, US",United States,Oklahoma,Alfalfa,US,USA,40003,36.73090616,-98.32408495,5702
"Newaygo, Michigan, US",United States,Michigan,Newaygo,US,USA,26123,43.554374,-85.80070107,48980
"Geauga, Ohio, US",United States,Ohio,Geauga,US,USA,39055,41.49952319,-81.17935342,93649
"Middlesex, Connecticut, US",United States,Connecticut,Middlesex,US,USA,9007,41.45949668,-72.53714864,162436
"Liberty, Georgia, US",United States,Georgia,Liberty,US,USA,13179,31.82588896,-81.49251135,61435
"Stark, Ohio, US",United States,Ohio,Stark,US,USA,39151,40.81482476,-81.36437305,370606
"Dallam, Texas, US",United States,Texas,Dallam,US,USA,48111,36.27787176,-102.6020725,7287
"Kimble, Texas, US",United States,Texas,Kimble,US,USA,48267,30.48678918,-99.74856473,4337
"Tippah, Mississippi, US",United States,Mississippi,Tippah,US,USA,28139,34.76872156,-88.90988194,22015
"Okeechobee, Florida, US",United States,Florida,Okeechobee,US,USA,12093,27.3863362,-80.88944347,42168
"Bucks, Pennsylvania, US",United States,Pennsylvania,Bucks,US,USA,42017,40.33682119,-75.10836643,628270
"Sabine, Texas, US",United States,Texas,Sabine,US,USA,48403,31.34318809,-93.85440451,10542
"Saline, Missouri, US",United States,Missouri,Saline,US,USA,29195,39.13734288,-93.20259964,22761
"Lawrence, Indiana, US",United States,Indiana,Lawrence,US,USA,18093,38.84112637,-86.48361629,45370
"Monroe, Indiana, US",United States,Indiana,Monroe,US,USA,18105,39.16130004,-86.52414358,148431
"Bryan, Georgia, US",United States,Georgia,Bryan,US,USA,13029,32.00979311,-81.44002948,39627
"Falls, Texas, US",United States,Texas,Falls,US,USA,48145,31.25350609,-96.93630086,17297
"Big Horn, Wyoming, US",United States,Wyoming,Big Horn,US,USA,56003,44.52405055,-107.9960365,11790
"Iberia, Louisiana, US",United States,Louisiana,Iberia,US,USA,22045,29.86803617,-91.75871777,69830
"Tipton, Tennessee, US",United States,Tennessee,Tipton,US,USA,47167,35.501942,-89.73694895,61599
"Teton, Montana, US",United States,Montana,Teton,US,USA,30099,47.83741052,-112.2410688,6147
"McLean, Kentucky, US",United States,Kentucky,McLean,US,USA,21149,37.5301951,-87.26803443,9207
"Pike, Illinois, US",United States,Illinois,Pike,US,USA,17149,39.62265059,-90.8877017,15561
"McKinley, New Mexico, US",United States,New Mexico,McKinley,US,USA,35031,35.5800772,-108.262245,71367
"Pulaski, Arkansas, US",United States,Arkansas,Pulaski,US,USA,5119,34.77054088,-92.31355101,391911
"Thomas, Nebraska, US",United States,Nebraska,Thomas,US,USA,31171,41.91358968,-100.5556632,722
"Rogers, Oklahoma, US",United States,Oklahoma,Rogers,US,USA,40131,36.37004357,-95.60406759,92459
"White, Georgia, US",United States,Georgia,White,US,USA,13311,34.64624278,-83.74905525,30798
"Cook, Illinois, US",United States,Illinois,Cook,US,USA,17031,41.84144849,-87.81658794,5150233
"Fulton, Ohio, US",United States,Ohio,Fulton,US,USA,39051,41.60213491,-84.12571393,42126
"Ashland, Ohio, US",United States,Ohio,Ashland,US,USA,39005,40.84772277,-82.27280781,53484
"Henry, Alabama, US",United States,Alabama,Henry,US,USA,1067,31.51148016,-85.24267944,17205
"Luna, New Mexico, US",United States,New Mexico,Luna,US,USA,35029,32.18179341,-107.7508826,23709
"Dunn, North Dakota, US",United States,North Dakota,Dunn,US,USA,38025,47.35423935,-102.6160468,4424
"Cumberland, Tennessee, US",United States,Tennessee,Cumberland,US,USA,47035,35.95271721,-84.99840585,60520
"Onondaga, New York, US",United States,New York,Onondaga,US,USA,36067,43.00491923,-76.19971155,460528
"Grand, Colorado, US",United States,Colorado,Grand,US,USA,8049,40.10603347,-106.1178042,15734
"Clinch, Georgia, US",United States,Georgia,Clinch,US,USA,13065,30.91395822,-82.70432472,6618
"Huron, Michigan, US",United States,Michigan,Huron,US,USA,26063,43.83353985,-83.04078453,30981
"Ashland, Wisconsin, US",United States,Wisconsin,Ashland,US,USA,55003,46.31956891,-90.67837132,15562
"Wichita, Texas, US",United States,Texas,Wichita,US,USA,48485,33.98842886,-98.7041034,132230
"Washington, Kansas, US",United States,Kansas,Washington,US,USA,20201,39.78420784,-97.0875323,5406
"Maui, Hawaii, US",United States,Hawaii,Maui,US,USA,15009,20.86399628,-156.5689097,167417
"Prentiss, Mississippi, US",United States,Mississippi,Prentiss,US,USA,28117,34.61810501,-88.51986294,25126
"Florence, South Carolina, US",United States,South Carolina,Florence,US,USA,45041,34.02361754,-79.70189312,138293
"Rensselaer, New York, US",United States,New York,Rensselaer,US,USA,36083,42.71348136,-73.51089874,158714
"Fremont, Iowa, US",United States,Iowa,Fremont,US,USA,19071,40.7454272,-95.60129045,6960
"Atchison, Kansas, US",United States,Kansas,Atchison,US,USA,20005,39.53185661,-95.30870026,16073
"Wallowa, Oregon, US",United States,Oregon,Wallowa,US,USA,41063,45.57894064,-117.183538,7208
"Perry, Arkansas, US",United States,Arkansas,Perry,US,USA,5105,34.9459153,-92.94372564,10455
"Lake and Peninsula, Alaska, US",United States,Alaska,Lake and Peninsula,US,USA,2164,58.62403337,-156.2140589,1592
"Herkimer, New York, US",United States,New York,Herkimer,US,USA,36043,43.42034246,-74.96145307,61319
"Ector, Texas, US",United States,Texas,Ector,US,USA,48135,31.86898877,-102.5429428,166223
"Brown, Minnesota, US",United States,Minnesota,Brown,US,USA,27015,44.24205652,-94.72562874,25008
"Cumberland, Pennsylvania, US",United States,Pennsylvania,Cumberland,US,USA,42041,40.1625372,-77.26130755,253370
"Caldwell, Louisiana, US",United States,Louisiana,Caldwell,US,USA,22021,32.0902519,-92.11752148,9918
"Orange, Virginia, US",United States,Virginia,Orange,US,USA,51137,38.24530219,-78.015604,37051
"Burlington, New Jersey, US",United States,New Jersey,Burlington,US,USA,34005,39.87681124,-74.66927768,445349
"Washington, Colorado, US",United States,Colorado,Washington,US,USA,8121,39.97015535,-103.202587,4908
"Dukes and Nantucket, Massachusetts, US",United States,Massachusetts,Dukes and Nantucket,US,USA,,41.40674725,-70.68763497,28731
"Camden, Missouri, US",United States,Missouri,Camden,US,USA,29029,38.02199522,-92.76083747,46305
"Craighead, Arkansas, US",United States,Arkansas,Craighead,US,USA,5031,35.83018283,-90.63235729,110332
"Brazoria, Texas, US",United States,Texas,Brazoria,US,USA,48039,29.18757369,-95.44563172,374264
"Fayette, Illinois, US",United States,Illinois,Fayette,US,USA,17051,39.00072038,-89.02452658,21336
"St. Martin, Louisiana, US",United States,Louisiana,St. Martin,US,USA,22099,30.13112107,-91.61403569,53431
"St. Croix, Wisconsin, US",United States,Wisconsin,St. Croix,US,USA,55109,45.03437474,-92.45000068,90687
"Ferry, Washington, US",United States,Washington,Ferry,US,USA,53019,48.4711431,-118.5154041,7627
"Santa Rosa, Florida, US",United States,Florida,Santa Rosa,US,USA,12113,30.6934145,-87.02458128,184313
"Richmond, North Carolina, US",United States,North Carolina,Richmond,US,USA,37153,35.00417719,-79.74491009,44829
"Brule, South Dakota, US",United States,South Dakota,Brule,US,USA,46015,43.71756379,-99.08118954,5297
"Edwards, Texas, US",United States,Texas,Edwards,US,USA,48137,29.98202582,-100.304252,1932
"Charlotte, Virginia, US",United States,Virginia,Charlotte,US,USA,51037,37.01909701,-78.66314092,11880
"Montgomery, Kentucky, US",United States,Kentucky,Montgomery,US,USA,21173,38.03253032,-83.9145241,28157
"Arlington, Virginia, US",United States,Virginia,Arlington,US,USA,51013,38.8767675,-77.10139853,236842
"St. Landry, Louisiana, US",United States,Louisiana,St. Landry,US,USA,22097,30.59724262,-92.00135806,82124
"Washington, New York, US",United States,New York,Washington,US,USA,36115,43.31153794,-73.43043448,61204
"Josephine, Oregon, US",United States,Oregon,Josephine,US,USA,41033,42.3665549,-123.5561938,87487
"Dane, Wisconsin, US",United States,Wisconsin,Dane,US,USA,55025,43.06601594,-89.41733797,546695
"Franklin, North Carolina, US",United States,North Carolina,Franklin,US,USA,37069,36.081519,-78.28708884,69685
"Butler, Alabama, US",United States,Alabama,Butler,US,USA,1013,31.75300095,-86.68057478,19448
"Wharton, Texas, US",United States,Texas,Wharton,US,USA,48481,29.27765923,-96.22319248,41556
"Pike, Missouri, US",United States,Missouri,Pike,US,USA,29163,39.34310674,-91.16980779,18302
"Franklin, Virginia, US",United States,Virginia,Franklin,US,USA,51067,36.99536167,-79.88023649,56042
"Stanton, Kansas, US",United States,Kansas,Stanton,US,USA,20187,37.56304714,-101.7843534,2006
"Uintah, Utah, US",United States,Utah,Uintah,US,USA,49047,40.12491499,-109.5174415,35734
"Wayne, Missouri, US",United States,Missouri,Wayne,US,USA,29223,37.11303869,-90.46001416,12873
"Stephens, Georgia, US",United States,Georgia,Stephens,US,USA,13257,34.55151201,-83.29405315,25925
"Marshall, Mississippi, US",United States,Mississippi,Marshall,US,USA,28093,34.76216286,-89.50299462,35294
"Sherman, Texas, US",United States,Texas,Sherman,US,USA,48421,36.27751473,-101.8933156,3022
"Macoupin, Illinois, US",United States,Illinois,Macoupin,US,USA,17117,39.26119767,-89.92424028,44926
"Republic, Kansas, US",United States,Kansas,Republic,US,USA,20157,39.82799632,-97.65036709,4636
"Clinton, New York, US",United States,New York,Clinton,US,USA,36019,44.74530905,-73.67875352,80485
"Hansford, Texas, US",United States,Texas,Hansford,US,USA,48195,36.27743284,-101.3545796,5399
"Schenectady, New York, US",United States,New York,Schenectady,US,USA,36093,42.81668777,-74.05278291,155299
"Phillips, Arkansas, US",United States,Arkansas,Phillips,US,USA,5107,34.43268455,-90.84800154,17782
"Edgecombe, North Carolina, US",United States,North Carolina,Edgecombe,US,USA,37065,35.91230639,-77.59436892,51472
"Otero, Colorado, US",United States,Colorado,Otero,US,USA,8089,37.9014485,-103.7173385,18278
"Washington, Indiana, US",United States,Indiana,Washington,US,USA,18175,38.60219804,-86.1049363,28036
"Charleston, South Carolina, US",United States,South Carolina,Charleston,US,USA,45019,32.82487866,-79.96512315,411406
"Summit, Utah, US",United States,Utah,Summit,US,USA,49043,40.86688146,-110.9535882,42145
"Oldham, Texas, US",United States,Texas,Oldham,US,USA,48359,35.40425596,-102.6027606,2112
"Dodge, Nebraska, US",United States,Nebraska,Dodge,US,USA,31053,41.58071748,-96.65598179,36565
"Sangamon, Illinois, US",United States,Illinois,Sangamon,US,USA,17167,39.75836914,-89.65872023,194672
"Mendocino, California, US",United States,California,Mendocino,US,USA,6045,39.4381191,-123.3911313,86749
"Newton, Georgia, US",United States,Georgia,Newton,US,USA,13217,33.55514538,-83.8454714,111744
"Madison, Arkansas, US",United States,Arkansas,Madison,US,USA,5087,36.01038185,-93.72524943,16576
"Union, South Dakota, US",United States,South Dakota,Union,US,USA,46127,42.83112163,-96.6557828,15932
"Beaver, Utah, US",United States,Utah,Beaver,US,USA,49001,38.35657051,-113.2342232,6710
